name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J083817.1+333157,blue,129.57156,33.532481,46.055,,,,,,17.468,16.613,12.238,8.954,,,,,
HPPSC070A_J123411.2+020638,blue,188.546812,2.110436,13.681,,,,,,16.623,16.066,12.308,8.566,,,,,
HPPSC070A_J041756.3+375238,blue,64.484752,37.87724,118.042,,196.618,,,,13.542,13.283,10.041,8.653,16.329,15.002,14.476,,
HPPSC070A_J031654.8-000231,blue,49.228407,-0.041951,153.176,191.552,155.775,,,,12.662,12.516,9.036,6.61,14.321,13.622,13.083,,
HPPSC070A_J093823.9+543100,blue,144.59969,54.516647,44.928,43.038,,,,,15.729,15.196,10.91,8.186,,,,,
HPPSC070A_J161612.2+463145,blue,244.050951,46.529139,67.754,,80.149,,,,16.433,15.959,12.903,8.832,,,,,
HPPSC070A_J060645.0-053449,blue,91.687654,-5.580315,124.858,,275.256,,,,13.291,13.042,9.737,7.359,15.693,14.849,14.343,,
HPPSC070A_J045927.7+422336,blue,74.865635,42.393289,465.584,,1281.563,606.9,277.9,94,12.299,12.075,7.987,5.632,15.348,14.398,14.054,,
HPPSC070A_J073521.0-250237,blue,113.837843,-25.043664,348.926,,895.371,427.7,157.9,,,,,,15.379,14.248,13.552,,
HPPSC070A_J032104.3+573054,blue,50.268042,57.514935,351.079,,857.524,,,,12.665,12.314,8.562,6.759,16.315,14.968,14.075,,
HPPSC070A_J075410.4-281928,blue,118.543421,-28.324435,1123.815,,1758.162,803.5,350.4,105.6,11.803,11.516,7.572,5.049,15.17,14.119,13.341,,
HPPSC070A_J143846.6+145508,blue,219.694492,14.918892,8.633,,19.322,,,,,,,,,,,,
HPPSC070A_J091451.9+023756,blue,138.716547,2.632199,25.142,,78.88,,,,14.932,14.623,10.703,8.585,,,,,
HPPSC070A_J004057.2+412724,blue,10.23866,41.456651,134.855,185.498,291.415,133.8,63.5,,14.16,13.711,9.497,7.58,16.465,15.314,14.75,,
HPPSC070A_J044045.6+480938,blue,70.190393,48.160664,453.172,,936.607,429.9,187.1,,12.627,12.271,8.013,6.055,15.892,14.773,14.218,,
HPPSC070A_J034615.2+544026,blue,56.563337,54.674021,224.112,,864.852,465.6,,,12.329,12.163,8.654,6.843,15.81,14.389,13.513,,
HPPSC070A_J041921.4+515505,blue,64.839431,51.917983,196.881,,628.603,328.7,107.2,,11.66,11.585,9.156,7.453,14.505,13.421,12.736,,
HPPSC070A_J143843.8+145405,blue,219.682894,14.901432,10.265,24.661,,,,,15.275,14.648,11.383,8.631,,,,,
HPPSC070A_J124608.8-022925,blue,191.536952,-2.490193,149.752,,209.02,,,,14.555,14.071,10.123,7.181,16.859,15.806,14.899,,
HPPSC070A_J091055.8-493303,blue,137.732746,-49.550959,8103.21,,10915.431,,,,8.637,7.527,4.16,1.391,13.766,13.044,11.113,,
HPPSC070A_J230941.2+610119,blue,347.421725,61.021953,256.805,,,,,,12.643,12.3,9.177,8.076,16.236,14.65,13.656,,
HPPSC070A_J130045.5+280345,blue,195.189751,28.062474,17.205,30.338,,,,,16.102,15.567,12.126,8.324,,,,,
HPPSC070A_J034358.2+305231,blue,55.992753,30.875363,178.433,,,,,,14.054,13.813,10.002,6.889,16.111,15.457,14.836,,
