name,band,ra,dec,herf_70,herf_100,herf_160,herf_250,herf_350,herf_500,wisevega_1,wisevega_2,wisevega_3,wisevega_4,2mvega_j,2mvega_h,2mvega_k,redshift1,redshift2
HPPSC070A_J054830.6+254627,blue,87.127551,25.774297,198.223000,,263.384000,212.200000,,,13.414000,13.111000,9.341000,7.736000,16.245000,15.277000,14.415000,2.071000,4.774000
HPPSC070A_J221354.2+581659,blue,333.476101,58.283066,279.511000,,814.472000,,,,12.588000,12.403000,8.566000,6.709000,16.092000,15.041000,14.244000,2.071000,4.975000
HPPSC070A_J112303.6+052814,blue,170.765105,5.470628,68.526000,,198.380000,,,,14.974000,14.699000,11.067000,8.711000,,,,4.916000,4.975000
HPPSC070A_J042902.1+343518,blue,67.258880,34.588384,188.680000,,422.073000,204.800000,93.200000,,13.853000,13.524000,9.456000,7.336000,16.258000,15.483000,14.694000,2.071000,4.363000
HPPSC070A_J123402.7+073629,blue,188.511496,7.607949,32.307000,61.270000,,,,,14.851000,14.500000,10.966000,8.048000,16.660000,15.971000,15.224000,2.480000,4.950000
HPPSC070A_J131552.9+415932,blue,198.970607,41.992308,33.953000,78.739000,,,,,14.644000,15.164000,10.474000,8.967000,,,,3.108000,4.975000
HPPSC070A_J205827.3-423755,blue,314.614012,-42.631829,20.956000,28.445000,,,,,15.259000,14.330000,10.476000,7.499000,,,,2.328000,1.818000
HPPSC070A_J132627.9-111921,blue,201.616623,-11.322412,126.157000,,173.319000,63.400000,,,13.572000,12.835000,9.850000,7.087000,15.829000,14.997000,14.419000,2.071000,2.310000
HPPSC070A_J061708.8+142211,blue,94.287027,14.369591,220.460000,,283.595000,,,,13.224000,12.774000,9.067000,6.729000,15.948000,14.912000,14.068000,1.928000,4.975000
HPPSC070A_J095502.6-013032,blue,148.760968,-1.509000,9.643000,,,,,,15.432000,14.907000,11.786000,8.720000,,,,2.846000,1.385000
HPPSC070A_J164424.3-240125,blue,251.101269,-24.023682,764.753000,,949.998000,,,,12.592000,12.215000,7.812000,5.562000,15.571000,14.585000,13.798000,1.928000,4.975000
HPPSC070A_J233352.2-234303,blue,353.467804,-23.717369,29.199000,,,,,,15.528000,15.052000,11.860000,8.963000,,,,2.626000,4.975000
HPPSC070A_J031818.0-663635,blue,49.575345,-66.609624,12.255000,,41.675000,,,,15.481000,15.087000,11.712000,9.174000,,,,4.916000,4.975000
